name,Mean,MCSE,StdDev,5%,50%,95%,N_Eff,N_Eff/s,R_hat
"a[20,2]",-0.120007,0.0017651,0.431658,-0.859412,-0.103289,0.558136,59805.3,274.353,1.00002
"a[20,3]",0.414105,0.00160457,0.367409,-0.200504,0.425232,0.991738,52430.1,240.519,1.00002
"a[20,4]",1.20684,0.00208152,0.447923,0.453255,1.2182,1.923,46307.1,212.431,1.00002
"a[20,5]",0.550717,0.00169312,0.410617,-0.164093,0.576575,1.17991,58816.5,269.816,1.00005
"a[20,6]",0.877811,0.00142526,0.372425,0.261832,0.882018,1.48659,68279.4,313.227,1.00002
"a[20,7]",1.46432,0.00177435,0.422613,0.797755,1.45221,2.17829,56729.7,260.243,1.00001
"a[20,8]",1.10268,0.00156403,0.400958,0.433674,1.11155,1.74374,65721.1,301.491,1.00001
"a[20,9]",1.46737,0.00153786,0.414107,0.781707,1.47254,2.13863,72508.5,332.628,1.00001
"a[20,10]",1.1692,0.00155854,0.401952,0.496511,1.18045,1.81036,66513.8,305.127,1.00002
"a[20,11]",0.419858,0.0016921,0.390243,-0.252794,0.442101,1.0176,53188.6,243.999,1.00004
"a[20,12]",0.269795,0.00162633,0.371242,-0.3768,0.296582,0.831407,52107.4,239.039,1.00002
"a[20,13]",1.22451,0.00150266,0.399027,0.566948,1.22675,1.87167,70515.5,323.485,0.999992
"a[20,14]",0.659921,0.00173814,0.404813,-0.0268111,0.67459,1.29801,54242.6,248.834,1.00001
"a[20,15]",0.573403,0.0016086,0.379343,-0.0688165,0.585653,1.17434,55611.8,255.115,1.00001
"a[20,16]",0.699572,0.00167781,0.403779,0.00609121,0.718651,1.32993,57916.9,265.689,1.00002
"a[20,17]",1.57865,0.00164081,0.42142,0.903983,1.57003,2.285,65965,302.61,0.999992
"a[20,18]",0.580489,0.00143431,0.363889,-0.0148887,0.580323,1.17536,64365.4,295.272,1.00002
"a[20,19]",0.607554,0.00162831,0.369948,-0.0202105,0.623735,1.18671,51618.9,236.798,1.00004
"a[20,20]",1.06082,0.0014397,0.373959,0.455224,1.05672,1.67539,67468.9,309.509,1
"a[21,1]",1.45687,0.00152789,0.409325,0.777368,1.46225,2.12012,71771.7,329.248,0.999999
"a[21,2]",-0.127137,0.00176825,0.432792,-0.866281,-0.110378,0.554232,59906.2,274.816,1.00002
"a[21,3]",0.41056,0.0016162,0.368017,-0.208777,0.422082,0.989089,51849.5,237.856,1.00002
"a[21,4]",1.20915,0.00207741,0.447866,0.457322,1.22069,1.92712,46478.3,213.216,1.00003
"a[21,5]",0.532993,0.00174635,0.418543,-0.199332,0.562063,1.17047,57440.2,263.503,1.00004
"a[21,6]",0.876072,0.00143303,0.374391,0.257746,0.879945,1.4849,68255.9,313.119,1.00001
"a[21,7]",1.48321,0.00187063,0.429256,0.809089,1.46909,2.21262,52657.2,241.561,1.00001
"a[21,8]",1.11244,0.00156727,0.401683,0.445926,1.12033,1.75746,65686.8,301.334,1
"a[21,9]",1.46666,0.00153895,0.415225,0.779766,1.47223,2.13846,72798.3,333.957,1
"a[21,10]",1.17171,0.00156288,0.402319,0.498678,1.18175,1.81438,66265.6,303.989,1.00001
"a[21,11]",0.42106,0.00170491,0.392106,-0.255902,0.443498,1.02131,52893.6,242.646,1.00004
"a[21,12]",0.257445,0.00164361,0.376095,-0.400458,0.285316,0.82161,52360,240.198,1.00001
"a[21,13]",1.24255,0.00153105,0.402128,0.583967,1.24231,1.90086,68984.6,316.462,0.999991
"a[21,14]",0.646392,0.00172021,0.406347,-0.0442475,0.663214,1.28632,55800,255.979,1.00001
"a[21,15]",0.585427,0.0016285,0.381153,-0.0588743,0.595248,1.19299,54780.4,251.301,1.00002
"a[21,16]",0.702359,0.0016776,0.403871,0.00856056,0.72066,1.33267,57957.3,265.875,1.00002
"a[21,17]",1.58398,0.00165736,0.423962,0.906312,1.57458,2.29432,65436.4,300.185,0.999992
"a[21,18]",0.569108,0.00142923,0.363459,-0.0311878,0.571043,1.16051,64670.7,296.672,1.00002
