name,Mean,MCSE,StdDev,5%,50%,95%,N_Eff,N_Eff/s,R_hat
"u[4,180]",0.16308,0.0142819,0.500887,-0.694095,0.175701,0.965181,1230,inf,0.999217
"w[1,1]",0.17821,0.0033388,0.0907706,0.0289262,0.180014,0.326654,739.111,inf,0.999452
"w[1,2]",0.0650159,0.00265764,0.093207,-0.0816793,0.0649636,0.217844,1230,inf,0.999941
"w[1,3]",0.157489,0.00302711,0.0920158,-7.09524e-05,0.158636,0.310517,923.994,inf,0.999232
"w[1,4]",0.0366317,0.00310334,0.0917351,-0.108888,0.0364985,0.183483,873.8,inf,1.00047
"w[1,5]",0.152656,0.00299838,0.0865408,0.013382,0.151419,0.294623,833.048,inf,0.999323
"w[1,6]",0.143508,0.00373115,0.0917685,-0.00580705,0.142326,0.293052,604.927,inf,1.00099
"w[1,7]",-0.288569,0.00335448,0.0917327,-0.446355,-0.285653,-0.145324,747.822,inf,0.999405
"w[1,8]",-0.184678,0.00292947,0.0892712,-0.335132,-0.181507,-0.0445084,928.633,inf,0.99935
"w[1,9]",-0.0867527,0.00303351,0.0869108,-0.227571,-0.0858867,0.0557444,820.838,inf,0.999196
"w[1,10]",0.0134883,0.00305058,0.0889538,-0.127725,0.0122228,0.160482,850.285,inf,0.999215
"w[1,11]",-0.175384,0.00342831,0.0926359,-0.327608,-0.177434,-0.0179563,730.129,inf,0.999197
"w[1,12]",0.0165904,0.00300688,0.0884118,-0.127168,0.0147706,0.162796,864.545,inf,0.999562
"w[1,13]",-0.321804,0.00382616,0.101602,-0.495354,-0.317311,-0.16173,705.147,inf,1.00085
"w[1,14]",-0.156218,0.00314481,0.0965536,-0.319299,-0.152693,-0.00728361,942.644,inf,0.999646
"w[1,15]",0.208339,0.00325666,0.0907299,0.0631302,0.206994,0.359243,776.172,inf,0.999672
"w[1,16]",0.0573292,0.00308772,0.0902973,-0.0834847,0.0538146,0.20781,855.21,inf,1.00278
"w[1,17]",-0.0261947,0.00281677,0.0885228,-0.173529,-0.0271465,0.120457,987.66,inf,1.00125
"w[1,18]",-0.103782,0.00321952,0.0932525,-0.257343,-0.100987,0.0500593,838.956,inf,1.00138
"w[1,19]",0.233496,0.00324125,0.0974254,0.0780562,0.232423,0.393659,903.48,inf,0.999477
"w[1,20]",0.134912,0.00331562,0.0904993,-0.00847064,0.133305,0.282601,745.007,inf,0.999206
"w[2,1]",0.104492,0.00435876,0.152868,-0.158009,0.109085,0.354196,1230,inf,0.999307
"w[2,2]",0.0113603,0.004596,0.151716,-0.236744,0.00795786,0.25965,1089.68,inf,0.999286
"w[2,3]",0.260155,0.00587254,0.161215,0.00688385,0.250756,0.540496,753.634,inf,0.999387
"w[2,4]",0.0508885,0.00414731,0.145452,-0.190975,0.0459378,0.287004,1230,inf,0.999656
"w[2,5]",0.22162,0.00458198,0.160696,-0.0299732,0.214859,0.493604,1230,inf,0.999205
"w[2,6]",0.319749,0.00532971,0.160864,0.060661,0.31384,0.59419,910.982,inf,1.00007
"w[2,7]",-0.370083,0.00450014,0.157826,-0.648522,-0.369127,-0.125336,1230,inf,0.999191
"w[2,8]",-0.189651,0.00416317,0.146008,-0.4348,-0.187794,0.0380371,1230,inf,0.999273
"w[2,9]",-0.243457,0.00515502,0.16759,-0.548558,-0.231312,0.00495928,1056.9,inf,1.00043
"w[2,10]",0.0149621,0.00412019,0.144501,-0.21743,0.0191302,0.245293,1230,inf,1.0047
"w[2,11]",-0.241207,0.0049449,0.157239,-0.501784,-0.233354,-0.00420373,1011.13,inf,0.99926
"w[2,12]",0.0303257,0.00416334,0.146014,-0.211161,0.0320728,0.264488,1230,inf,1.00192
"w[2,13]",-0.176951,0.00423218,0.148428,-0.42942,-0.173138,0.0591923,1230,inf,1.00044
"w[2,14]",-0.161955,0.00437428,0.153412,-0.413608,-0.159723,0.0800363,1230,inf,0.999871
"w[2,15]",0.245721,0.00431686,0.151398,0.0195328,0.244568,0.501631,1230,inf,1.00244
"w[2,16]",0.0566593,0.0040986,0.143743,-0.180672,0.0562774,0.28879,1230,inf,0.999739
"w[2,17]",-0.148703,0.00488156,0.155834,-0.412665,-0.141653,0.100396,1019.07,inf,0.999313
"w[2,18]",0.141166,0.00504621,0.154386,-0.103247,0.141179,0.415068,936.015,inf,1.00203
"w[2,19]",-0.0234362,0.00551152,0.176954,-0.327692,-0.0156311,0.265838,1030.81,inf,0.999326
"w[2,20]",0.203374,0.00450804,0.142743,-0.0162501,0.199769,0.44579,1002.61,inf,0.99921
"w[3,1]",-0.0472222,0.00515601,0.180828,-0.362447,-0.0369111,0.251664,1230,inf,0.999371
"w[3,2]",0.304172,0.00554492,0.174669,0.0312194,0.300403,0.60213,992.295,inf,1.00001
"w[3,3]",0.265207,0.00541686,0.178571,-0.018787,0.262718,0.581993,1086.74,inf,0.999398
"w[3,4]",-0.0886707,0.00503189,0.176475,-0.391618,-0.0809158,0.192096,1230,inf,1.00005
"w[3,5]",0.131981,0.00496792,0.174232,-0.148485,0.135452,0.422218,1230,inf,0.999202
"w[3,6]",-0.090113,0.00575216,0.201736,-0.438971,-0.076508,0.224522,1230,inf,1.00051
"w[3,7]",-0.214372,0.00496283,0.174053,-0.503651,-0.211509,0.0718533,1230,inf,1.00253
"w[3,8]",-0.169938,0.00481235,0.168776,-0.458375,-0.162932,0.103912,1230,inf,1.00156
"w[3,9]",-0.340466,0.0067668,0.208297,-0.710832,-0.319639,-0.0353396,947.548,inf,1.00271
"w[3,10]",0.0479133,0.00487865,0.171101,-0.230587,0.0414747,0.338943,1230,inf,0.999403
"w[3,11]",-0.199097,0.0049116,0.172257,-0.504486,-0.188865,0.0581522,1230,inf,0.999359
"w[3,12]",-0.0274096,0.0049534,0.173722,-0.321125,-0.0196272,0.250095,1230,inf,0.999813
"w[3,13]",-0.326062,0.00604534,0.185089,-0.633432,-0.331414,-0.0163276,937.389,inf,0.999208
"w[3,14]",0.0913686,0.00481792,0.168971,-0.18666,0.0909086,0.367871,1230,inf,0.999795
"w[3,15]",0.172663,0.0048358,0.169598,-0.104468,0.168722,0.458516,1230,inf,0.999537
"w[3,16]",0.131842,0.00503146,0.162899,-0.13449,0.127437,0.407849,1048.21,inf,0.999367
"w[3,17]",0.216398,0.00546242,0.165988,-0.053197,0.21343,0.481534,923.388,inf,0.999607
"w[3,18]",-0.0975092,0.00517929,0.181645,-0.394924,-0.0980715,0.199742,1230,inf,1.00222
"w[3,19]",0.444208,0.00616128,0.186846,0.139492,0.436663,0.760651,919.654,inf,1.00053
"w[3,20]",-0.119095,0.00535925,0.187956,-0.437683,-0.114106,0.170785,1230,inf,1.00016
"w[4,1]",-0.0285197,0.00325827,0.114272,-0.236762,-0.0185883,0.151035,1230,inf,1.00037
"w[4,2]",0.134745,0.0052541,0.139525,-0.054336,0.115672,0.385918,705.188,inf,1.00195
"w[4,3]",-0.0728222,0.00353084,0.123831,-0.310004,-0.0521428,0.101955,1230,inf,1.00069
"w[4,4]",-0.0174122,0.00332904,0.116754,-0.214252,-0.0115247,0.176404,1230,inf,0.999191
"w[4,5]",0.0706254,0.00443141,0.133737,-0.124588,0.0522443,0.319451,910.79,inf,0.999911
"w[4,6]",-0.156415,0.00571521,0.150967,-0.433607,-0.135609,0.0441488,697.753,inf,1.00073
"w[4,7]",0.0767063,0.00337199,0.11826,-0.0983556,0.0652764,0.289711,1230,inf,0.999194
"w[4,8]",0.0251373,0.00299791,0.105141,-0.148158,0.0197818,0.202424,1230,inf,1.0012
"w[4,9]",0.0337129,0.00340696,0.119487,-0.154445,0.0256598,0.240387,1230,inf,1.00129
"w[4,10]",-0.00979069,0.00297518,0.104344,-0.189061,-0.00342821,0.163814,1230,inf,0.999229
"w[4,11]",0.0498984,0.00320743,0.112489,-0.122393,0.0376631,0.248787,1230,inf,1.00037
"w[4,12]",-0.137845,0.00514321,0.14419,-0.401164,-0.118022,0.0524862,785.957,inf,1.00288
"w[4,13]",-0.105971,0.00467175,0.126036,-0.333034,-0.0941573,0.0731391,727.834,inf,1.00304
"w[4,14]",0.0419541,0.00328167,0.115093,-0.134273,0.0301125,0.242799,1230,inf,0.999382
"w[4,15]",-0.0416652,0.00357584,0.12541,-0.25904,-0.0297406,0.157559,1230,inf,0.999546
"w[4,16]",-0.0660598,0.00367226,0.114821,-0.27656,-0.0526888,0.10243,977.632,inf,1.00046
"w[4,17]",0.119693,0.00408769,0.122186,-0.0587497,0.109643,0.336677,893.481,inf,1.00094
"w[4,18]",0.00659735,0.00339717,0.119143,-0.181839,0.000245662,0.203906,1230,inf,0.999308
"w[4,19]",0.157509,0.00480747,0.141692,-0.0471357,0.144773,0.418271,868.677,inf,1.00028
"w[4,20]",-0.120125,0.00460783,0.137081,-0.368107,-0.104205,0.0709918,885.033,inf,1.00115
"alpha_0[1]",4.55157,0.00466973,0.0733016,4.42848,4.55276,4.6716,246.402,inf,0.999204
"alpha_0[2]",2.24834,0.00429353,0.103198,2.08128,2.25284,2.41971,577.711,inf,1.00126
"alpha_0[3]",2.04651,0.00469591,0.111769,1.84943,2.05524,2.22015,566.499,inf,1.00086
"alpha_0[4]",2.2719,0.0040573,0.0926705,2.12235,2.26972,2.41639,521.685,inf,0.999288
# Inference for Stan model: activation_based_h_model
# 1 chains: each with iter=(1230); warmup=(1000); thin=(1); 2230 iterations saved.
#
# Warmup took (0.00) seconds, 0.00 seconds total
# Sampling took (0.00) seconds, 0.00 seconds total
#
# Samples were drawn using hmc with nuts.
# For each parameter, N_Eff is a crude measure of effective sample size,
# and R_hat is the potential scale reduction factor on split chains (at 
# convergence, R_hat=1).
