name,Mean,MCSE,StdDev,5%,50%,95%,N_Eff,N_Eff/s,R_hat
"b[1]",0.518748,0.00060097,0.190043,0.253131,0.493644,0.866369,100000,37.0541,0.999993
"b[2]",0.420618,0.000567454,0.179445,0.146971,0.408488,0.731774,100000,37.0541,1
"b[3]",0.276039,0.000572398,0.181008,-0.0452832,0.292747,0.544066,100000,37.0541,0.99999
"b[4]",0.224284,0.000752922,0.197599,-0.13169,0.247694,0.508522,68876.1,25.5214,0.999991
"b[5]",0.51101,0.000578057,0.182798,0.253145,0.488397,0.845777,100000,37.0541,0.999992
"b[6]",0.518062,0.00061081,0.193155,0.250568,0.492472,0.871589,100000,37.0541,0.999992
"b[7]",0.315816,0.000573058,0.181217,-0.00023559,0.327176,0.593744,100000,37.0541,0.99999
"b[8]",0.290056,0.000590492,0.18673,-0.0400718,0.305721,0.569573,100000,37.0541,0.999994
"b[9]",0.400929,0.000554815,0.175448,0.125624,0.393463,0.700232,100000,37.0541,0.999991
"b[10]",0.430536,0.000541619,0.171275,0.170932,0.417971,0.729353,100000,37.0541,0.99999
"pi[1]",0.174017,0.000240852,0.0761641,0.0470916,0.175765,0.29545,100000,37.0541,0.999993
"pi[2]",0.182794,0.000262923,0.0831436,0.0491873,0.182177,0.317852,100000,37.0541,0.99999
"pi[3]",0.149254,0.000248367,0.0785405,0.0103597,0.155721,0.266035,100000,37.0541,0.99999
"pi[4]",0.202905,0.000275038,0.0869747,0.0730365,0.197158,0.354991,100000,37.0541,0.999993
"pi[5]",0.153463,0.000297539,0.0940902,-0.0162508,0.161882,0.287979,100000,37.0541,0.99999
"pi[6]",0.200718,0.000253649,0.0802109,0.0791291,0.195774,0.341137,100000,37.0541,1
"pi[7]",0.200761,0.000273477,0.0864809,0.0712902,0.195603,0.350662,100000,37.0541,0.999992
"pi[8]",0.202258,0.000247727,0.0783382,0.083366,0.197475,0.339298,100000,37.0541,0.99999
"pi[9]",0.17651,0.000265175,0.0838556,0.0388393,0.177352,0.310333,100000,37.0541,0.99999
"pi[10]",0.188829,0.000242134,0.0765694,0.06902,0.186301,0.31812,100000,37.0541,0.999998
"rhoRew[1]",6.40147,0.0060525,1.61576,4.52333,6.09667,9.27045,71266.4,26.4071,0.999998
"rhoRew[2]",6.17907,0.00595788,1.56763,4.32641,5.89141,8.94706,69231.3,25.653,1.00001
"rhoRew[3]",6.30048,0.00617055,1.61267,4.41503,5.99356,9.17839,68303.4,25.3092,0.999993
"rhoRew[4]",6.09869,0.00544582,1.45248,4.33773,5.85757,8.63155,71137.1,26.3592,0.99999
"rhoRew[5]",6.31561,0.005884,1.52507,4.52188,6.03912,8.97619,67179.3,24.8926,1.00001
"rhoRew[6]",6.15779,0.00512123,1.37492,4.42915,5.92634,8.63753,72078.6,26.7081,0.99999
"rhoRew[7]",6.19223,0.00584925,1.52827,4.38136,5.91897,8.89597,68265.6,25.2952,0.99999
"rhoRew[8]",6.29036,0.00596073,1.56564,4.44451,5.99896,9.07699,68990,25.5636,0.999997
"rhoRew[9]",6.17482,0.00589154,1.53029,4.42141,5.89651,8.77878,67467,24.9993,1
