program,0,1,-1,2
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_368/stochastic-volatility.stan,73.0,1095.0,1.0,266.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_575/stochastic-volatility.stan,71.0,1080.0,1.0,266.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_215/stochastic-volatility.stan,65.0,198.0,1.0,29.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_59/stochastic-volatility.stan,65.0,1074.0,1.0,273.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_248/stochastic-volatility.stan,73.0,1082.0,1.0,266.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_274/stochastic-volatility.stan,78.0,1111.0,1.0,266.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_150/stochastic-volatility.stan,65.0,1071.0,1.0,266.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_569/stochastic-volatility.stan,65.0,133.0,1.0,18.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_126/stochastic-volatility.stan,71.0,1088.0,1.0,266.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_554/stochastic-volatility.stan,65.0,88.0,1.0,4.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_496/stochastic-volatility.stan,73.0,1077.0,1.0,266.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_84/stochastic-volatility.stan,64.0,1075.0,1.0,266.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_131/stochastic-volatility.stan,65.0,1074.0,1.0,266.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_488/stochastic-volatility.stan,69.0,1070.0,1.0,266.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_221/stochastic-volatility.stan,60.0,1071.0,1.0,266.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_145/stochastic-volatility.stan,73.0,1083.0,1.0,266.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_137/stochastic-volatility.stan,71.0,327.0,1.0,63.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_40/stochastic-volatility.stan,61.0,1060.0,1.0,266.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_576/stochastic-volatility.stan,61.0,1063.0,1.0,266.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_135/stochastic-volatility.stan,61.0,1066.0,1.0,273.0
