program,2,1,0,3,5,4,6,8,7,-1,9,-2
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_513/stochastic-volatility.stan,4.0,2.0,3.0,27.0,15.0,34.0,109.0,5.0,50.0,0.0,32.0,1.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_473/stochastic-volatility.stan,9.0,5.0,4.0,35.0,16.0,43.0,786.0,7.0,257.0,0.0,266.0,1.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_592/stochastic-volatility.stan,9.0,5.0,4.0,31.0,16.0,34.0,22.0,5.0,19.0,0.0,2.0,1.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_247/stochastic-volatility.stan,7.0,4.0,3.0,30.0,10.0,31.0,782.0,5.0,254.0,0.0,266.0,1.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_407/stochastic-volatility.stan,9.0,5.0,4.0,31.0,16.0,34.0,405.0,5.0,130.0,0.0,138.0,1.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_420/stochastic-volatility.stan,6.0,4.0,5.0,30.0,12.0,31.0,781.0,5.0,253.0,0.0,266.0,1.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_231/stochastic-volatility.stan,9.0,5.0,4.0,35.0,16.0,43.0,793.0,7.0,250.0,0.0,273.0,1.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_573/stochastic-volatility.stan,9.0,5.0,4.0,39.0,22.0,52.0,214.0,9.0,91.0,0.0,63.0,1.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_241/stochastic-volatility.stan,7.0,5.0,4.0,30.0,11.0,33.0,783.0,5.0,255.0,0.0,266.0,1.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_468/stochastic-volatility.stan,7.0,4.0,3.0,30.0,10.0,30.0,781.0,5.0,253.0,0.0,266.0,1.0
