program,1,0,2,3,4,5,6,-1,7,-2
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_592/stochastic-volatility.stan,7.0,4.0,27.0,45.0,17.0,28.0,17.0,0.0,2.0,1.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_247/stochastic-volatility.stan,6.0,3.0,24.0,42.0,11.0,1021.0,19.0,0.0,266.0,1.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_407/stochastic-volatility.stan,7.0,4.0,27.0,45.0,17.0,522.0,17.0,0.0,138.0,1.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_420/stochastic-volatility.stan,5.0,5.0,26.0,40.0,13.0,1021.0,17.0,0.0,266.0,1.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_231/stochastic-volatility.stan,7.0,4.0,31.0,54.0,17.0,1027.0,22.0,0.0,273.0,1.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_573/stochastic-volatility.stan,7.0,4.0,35.0,63.0,23.0,285.0,28.0,0.0,63.0,1.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_241/stochastic-volatility.stan,7.0,4.0,25.0,43.0,12.0,1022.0,20.0,0.0,266.0,1.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_468/stochastic-volatility.stan,6.0,3.0,24.0,41.0,11.0,1020.0,18.0,0.0,266.0,1.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_463/stochastic-volatility.stan,8.0,4.0,31.0,50.0,19.0,1024.0,20.0,0.0,61.0,1.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_505/stochastic-volatility.stan,7.0,4.0,26.0,37.0,17.0,1018.0,12.0,0.0,266.0,1.0
