program,0,1,2,-1
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_530/stochastic-volatility.stan,38.0,1084.0,17.0,1.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_125/stochastic-volatility.stan,38.0,206.0,49.0,1.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_437/stochastic-volatility.stan,30.0,1078.0,284.0,1.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_421/stochastic-volatility.stan,42.0,1098.0,288.0,1.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_475/stochastic-volatility.stan,39.0,1074.0,280.0,1.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_257/stochastic-volatility.stan,38.0,1098.0,289.0,1.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_195/stochastic-volatility.stan,36.0,1077.0,291.0,1.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_366/stochastic-volatility.stan,36.0,1075.0,285.0,1.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_280/stochastic-volatility.stan,43.0,1098.0,286.0,1.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_13/stochastic-volatility.stan,34.0,1077.0,283.0,1.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_175/stochastic-volatility.stan,24.0,1067.0,280.0,1.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_122/stochastic-volatility.stan,38.0,1082.0,282.0,1.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_502/stochastic-volatility.stan,38.0,580.0,143.0,1.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_429/stochastic-volatility.stan,42.0,1100.0,288.0,1.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_136/stochastic-volatility.stan,41.0,1099.0,288.0,1.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_8/stochastic-volatility.stan,40.0,1101.0,286.0,1.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_443/stochastic-volatility.stan,38.0,1084.0,283.0,1.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_210/stochastic-volatility.stan,38.0,1082.0,282.0,1.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_146/stochastic-volatility.stan,42.0,344.0,85.0,1.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_269/stochastic-volatility.stan,42.0,1103.0,289.0,1.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_41/stochastic-volatility.stan,42.0,1086.0,286.0,1.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_466/stochastic-volatility.stan,44.0,1111.0,292.0,1.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_387/stochastic-volatility.stan,38.0,1084.0,283.0,1.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_58/stochastic-volatility.stan,38.0,1084.0,283.0,1.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_498/stochastic-volatility.stan,41.0,1092.0,287.0,1.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_539/stochastic-volatility.stan,38.0,1080.0,281.0,1.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_90/stochastic-volatility.stan,34.0,1074.0,283.0,1.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_395/stochastic-volatility.stan,33.0,1074.0,283.0,1.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_363/stochastic-volatility.stan,43.0,1093.0,287.0,1.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_314/stochastic-volatility.stan,30.0,1081.0,286.0,1.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_470/stochastic-volatility.stan,48.0,1111.0,297.0,1.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_481/stochastic-volatility.stan,39.0,1081.0,282.0,1.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_398/stochastic-volatility.stan,36.0,1075.0,19.0,1.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_70/stochastic-volatility.stan,36.0,1076.0,278.0,1.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_216/stochastic-volatility.stan,37.0,1076.0,280.0,1.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_565/stochastic-volatility.stan,36.0,1075.0,285.0,1.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_275/stochastic-volatility.stan,24.0,1059.0,278.0,1.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_501/stochastic-volatility.stan,41.0,1095.0,286.0,1.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_271/stochastic-volatility.stan,38.0,1084.0,23.0,1.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_69/stochastic-volatility.stan,38.0,582.0,145.0,1.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_595/stochastic-volatility.stan,40.0,1098.0,288.0,1.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_164/stochastic-volatility.stan,38.0,1076.0,281.0,1.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_110/stochastic-volatility.stan,42.0,227.0,62.0,1.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_75/stochastic-volatility.stan,31.0,1076.0,284.0,1.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_562/stochastic-volatility.stan,23.0,1062.0,282.0,1.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_14/stochastic-volatility.stan,36.0,1084.0,283.0,1.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_485/stochastic-volatility.stan,38.0,334.0,80.0,1.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_229/stochastic-volatility.stan,38.0,1084.0,291.0,1.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_68/stochastic-volatility.stan,36.0,575.0,146.0,1.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_89/stochastic-volatility.stan,42.0,348.0,92.0,1.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_91/stochastic-volatility.stan,45.0,1107.0,294.0,1.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_571/stochastic-volatility.stan,32.0,1071.0,279.0,1.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_143/stochastic-volatility.stan,35.0,1067.0,278.0,1.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_359/stochastic-volatility.stan,33.0,1074.0,282.0,1.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_184/stochastic-volatility.stan,16.0,1055.0,281.0,1.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_7/stochastic-volatility.stan,38.0,145.0,37.0,1.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_319/stochastic-volatility.stan,37.0,1076.0,280.0,1.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_297/stochastic-volatility.stan,30.0,1078.0,282.0,1.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_21/stochastic-volatility.stan,40.0,1086.0,286.0,1.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_337/stochastic-volatility.stan,42.0,1086.0,286.0,1.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_204/stochastic-volatility.stan,47.0,1116.0,292.0,1.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_486/stochastic-volatility.stan,34.0,1080.0,284.0,1.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_245/stochastic-volatility.stan,38.0,1080.0,282.0,1.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_264/stochastic-volatility.stan,34.0,1080.0,284.0,1.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_346/stochastic-volatility.stan,42.0,1086.0,286.0,1.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_179/stochastic-volatility.stan,41.0,1099.0,288.0,1.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_236/stochastic-volatility.stan,42.0,1103.0,288.0,1.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_558/stochastic-volatility.stan,28.0,326.0,81.0,1.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_235/stochastic-volatility.stan,38.0,1084.0,284.0,1.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_220/stochastic-volatility.stan,38.0,1085.0,283.0,1.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_422/stochastic-volatility.stan,43.0,1086.0,288.0,1.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_268/stochastic-volatility.stan,23.0,1062.0,282.0,1.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_452/stochastic-volatility.stan,35.0,1083.0,283.0,1.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_255/stochastic-volatility.stan,38.0,1084.0,266.0,1.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_292/stochastic-volatility.stan,45.0,346.0,83.0,1.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_417/stochastic-volatility.stan,24.0,1066.0,281.0,1.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_585/stochastic-volatility.stan,32.0,1070.0,286.0,1.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_127/stochastic-volatility.stan,38.0,1081.0,282.0,1.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_97/stochastic-volatility.stan,38.0,584.0,155.0,1.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_60/stochastic-volatility.stan,38.0,1085.0,283.0,1.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_438/stochastic-volatility.stan,43.0,593.0,148.0,1.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_408/stochastic-volatility.stan,43.0,1093.0,285.0,1.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_278/stochastic-volatility.stan,35.0,1070.0,282.0,1.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_249/stochastic-volatility.stan,32.0,1083.0,284.0,1.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_118/stochastic-volatility.stan,37.0,1079.0,288.0,1.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_599/stochastic-volatility.stan,32.0,1079.0,282.0,1.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_30/stochastic-volatility.stan,43.0,1097.0,287.0,1.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_230/stochastic-volatility.stan,38.0,1084.0,26.0,1.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_428/stochastic-volatility.stan,38.0,1084.0,283.0,1.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_194/stochastic-volatility.stan,36.0,325.0,89.0,1.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_577/stochastic-volatility.stan,41.0,346.0,85.0,1.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_345/stochastic-volatility.stan,38.0,1076.0,283.0,1.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_582/stochastic-volatility.stan,42.0,1103.0,288.0,1.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_218/stochastic-volatility.stan,42.0,1098.0,288.0,1.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_196/stochastic-volatility.stan,36.0,1075.0,285.0,1.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_384/stochastic-volatility.stan,38.0,1084.0,290.0,1.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_382/stochastic-volatility.stan,46.0,1122.0,293.0,1.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_517/stochastic-volatility.stan,38.0,1085.0,284.0,1.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_192/stochastic-volatility.stan,38.0,1086.0,284.0,1.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_394/stochastic-volatility.stan,43.0,1097.0,287.0,1.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_425/stochastic-volatility.stan,42.0,1107.0,285.0,1.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_27/stochastic-volatility.stan,40.0,1082.0,117.0,1.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_308/stochastic-volatility.stan,34.0,1083.0,283.0,1.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_495/stochastic-volatility.stan,47.0,1107.0,298.0,1.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_197/stochastic-volatility.stan,41.0,1094.0,284.0,1.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_477/stochastic-volatility.stan,40.0,1080.0,282.0,1.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_392/stochastic-volatility.stan,36.0,1078.0,283.0,1.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_147/stochastic-volatility.stan,41.0,222.0,52.0,1.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_545/stochastic-volatility.stan,47.0,1112.0,291.0,1.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_288/stochastic-volatility.stan,38.0,1082.0,283.0,1.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_237/stochastic-volatility.stan,34.0,1076.0,284.0,1.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_321/stochastic-volatility.stan,42.0,350.0,93.0,1.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_37/stochastic-volatility.stan,38.0,584.0,17.0,1.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_380/stochastic-volatility.stan,47.0,1112.0,291.0,1.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_386/stochastic-volatility.stan,40.0,1082.0,283.0,1.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_480/stochastic-volatility.stan,37.0,1085.0,283.0,1.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_50/stochastic-volatility.stan,45.0,1095.0,288.0,1.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_2/stochastic-volatility.stan,38.0,210.0,48.0,1.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_381/stochastic-volatility.stan,50.0,1104.0,26.0,1.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_94/stochastic-volatility.stan,38.0,580.0,153.0,1.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_453/stochastic-volatility.stan,40.0,1085.0,286.0,1.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_155/stochastic-volatility.stan,47.0,1111.0,292.0,1.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_200/stochastic-volatility.stan,47.0,1106.0,289.0,1.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_365/stochastic-volatility.stan,36.0,327.0,90.0,1.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_80/stochastic-volatility.stan,38.0,98.0,22.0,1.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_493/stochastic-volatility.stan,37.0,333.0,86.0,1.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_472/stochastic-volatility.stan,44.0,158.0,42.0,1.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_451/stochastic-volatility.stan,30.0,1083.0,287.0,1.0
