program,0,1,2,-1
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_362/stochastic-volatility.stan,28.0,873.0,523.0,1.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_86/stochastic-volatility.stan,30.0,298.0,153.0,1.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_570/stochastic-volatility.stan,29.0,864.0,528.0,1.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_168/stochastic-volatility.stan,31.0,872.0,530.0,1.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_563/stochastic-volatility.stan,28.0,861.0,525.0,1.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_299/stochastic-volatility.stan,26.0,848.0,523.0,1.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_552/stochastic-volatility.stan,30.0,869.0,528.0,1.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_166/stochastic-volatility.stan,23.0,850.0,524.0,1.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_105/stochastic-volatility.stan,17.0,837.0,520.0,1.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_524/stochastic-volatility.stan,30.0,873.0,530.0,1.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_580/stochastic-volatility.stan,26.0,854.0,523.0,1.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_228/stochastic-volatility.stan,30.0,290.0,155.0,1.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_88/stochastic-volatility.stan,28.0,856.0,524.0,1.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_543/stochastic-volatility.stan,30.0,860.0,517.0,1.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_20/stochastic-volatility.stan,20.0,864.0,518.0,1.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_93/stochastic-volatility.stan,23.0,842.0,520.0,1.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_156/stochastic-volatility.stan,28.0,848.0,520.0,1.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_181/stochastic-volatility.stan,28.0,281.0,147.0,1.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_534/stochastic-volatility.stan,28.0,594.0,523.0,1.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_161/stochastic-volatility.stan,27.0,847.0,519.0,1.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_555/stochastic-volatility.stan,28.0,464.0,272.0,1.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_589/stochastic-volatility.stan,30.0,865.0,527.0,1.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_18/stochastic-volatility.stan,22.0,295.0,156.0,1.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_353/stochastic-volatility.stan,30.0,495.0,280.0,1.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_170/stochastic-volatility.stan,28.0,137.0,53.0,1.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_66/stochastic-volatility.stan,28.0,182.0,85.0,1.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_513/stochastic-volatility.stan,17.0,177.0,87.0,1.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_473/stochastic-volatility.stan,30.0,868.0,530.0,1.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_592/stochastic-volatility.stan,28.0,93.0,26.0,1.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_247/stochastic-volatility.stan,22.0,845.0,525.0,1.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_407/stochastic-volatility.stan,28.0,476.0,273.0,1.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_420/stochastic-volatility.stan,23.0,846.0,524.0,1.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_231/stochastic-volatility.stan,30.0,875.0,530.0,1.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_573/stochastic-volatility.stan,32.0,313.0,163.0,1.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_241/stochastic-volatility.stan,26.0,847.0,526.0,1.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_468/stochastic-volatility.stan,22.0,843.0,524.0,1.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_463/stochastic-volatility.stan,30.0,660.0,527.0,1.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_505/stochastic-volatility.stan,27.0,843.0,517.0,1.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_368/stochastic-volatility.stan,30.0,873.0,531.0,1.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_575/stochastic-volatility.stan,28.0,860.0,529.0,1.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_215/stochastic-volatility.stan,28.0,179.0,85.0,1.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_59/stochastic-volatility.stan,28.0,861.0,523.0,1.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_248/stochastic-volatility.stan,30.0,866.0,525.0,1.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_274/stochastic-volatility.stan,30.0,890.0,535.0,1.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_150/stochastic-volatility.stan,28.0,852.0,522.0,1.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_569/stochastic-volatility.stan,28.0,134.0,54.0,1.0
programs/timeseries_mutants_7/progs20190621-205413661279/progs20190621-205413661279_prob_rand_126/stochastic-volatility.stan,28.0,868.0,529.0,1.0
