program,0_-2,0_-3,0_-1,1_-3,1_-2,1_-1,-1_-2,0_-4,1_-4,-1_-3,1_-5,2_-4,0_-5,-1_-4
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_28/hearts.stan,17.0,108.0,0.0,43.0,6.0,4.0,1.0,21.0,36.0,0.0,7.0,0.0,0.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_470/hearts.stan,15.0,105.0,0.0,40.0,6.0,4.0,1.0,19.0,33.0,0.0,4.0,0.0,0.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_341/hearts.stan,19.0,109.0,0.0,47.0,6.0,4.0,1.0,22.0,39.0,0.0,5.0,0.0,0.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_525/hearts.stan,18.0,110.0,0.0,44.0,6.0,4.0,1.0,22.0,40.0,0.0,7.0,0.0,0.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_335/hearts.stan,16.0,106.0,0.0,42.0,6.0,4.0,1.0,20.0,30.0,0.0,4.0,0.0,0.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_336/hearts.stan,15.0,104.0,0.0,41.0,6.0,4.0,1.0,19.0,28.0,0.0,2.0,0.0,0.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_3/hearts.stan,18.0,111.0,0.0,45.0,6.0,4.0,1.0,21.0,39.0,0.0,7.0,0.0,0.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_98/hearts.stan,13.0,62.0,0.0,32.0,4.0,4.0,1.0,13.0,21.0,0.0,4.0,0.0,0.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_77/hearts.stan,13.0,98.0,0.0,32.0,4.0,4.0,1.0,13.0,21.0,0.0,4.0,0.0,0.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_83/hearts.stan,16.0,70.0,0.0,42.0,6.0,4.0,1.0,20.0,30.0,0.0,4.0,0.0,0.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_523/hearts.stan,20.0,114.0,0.0,46.0,6.0,4.0,1.0,24.0,50.0,0.0,11.0,0.0,0.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_151/hearts.stan,15.0,100.0,0.0,38.0,6.0,4.0,1.0,21.0,29.0,0.0,4.0,0.0,0.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_567/hearts.stan,12.0,96.0,0.0,31.0,4.0,4.0,1.0,12.0,18.0,0.0,2.0,0.0,0.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_84/hearts.stan,18.0,74.0,0.0,44.0,6.0,4.0,1.0,22.0,45.0,0.0,7.0,0.0,0.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_258/hearts.stan,16.0,106.0,0.0,42.0,6.0,4.0,1.0,20.0,30.0,0.0,4.0,0.0,0.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_252/hearts.stan,15.0,107.0,0.0,40.0,6.0,4.0,1.0,19.0,33.0,0.0,4.0,0.0,0.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_312/hearts.stan,14.0,106.0,0.0,37.0,6.0,4.0,1.0,19.0,38.0,0.0,4.0,0.0,0.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_529/hearts.stan,16.0,70.0,0.0,42.0,6.0,4.0,1.0,20.0,30.0,0.0,4.0,0.0,0.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_22/hearts.stan,15.0,104.0,0.0,41.0,6.0,4.0,1.0,19.0,27.0,0.0,2.0,0.0,0.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_27/hearts.stan,15.0,102.0,0.0,41.0,6.0,4.0,1.0,21.0,25.0,0.0,5.0,0.0,0.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_323/hearts.stan,15.0,105.0,0.0,39.0,6.0,4.0,1.0,20.0,35.0,0.0,4.0,0.0,0.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_53/hearts.stan,19.0,111.0,0.0,45.0,5.0,4.0,1.0,21.0,39.0,0.0,7.0,0.0,0.0,0.0
