program,0_-1_0,0_-1_-1,0_-2_-1,0_-3_-1,0_-2_0,1_-2_-1,1_-3_-1,1_-2_0,-1_-2_0,0_-3_0,1_-3_0,1_-4_-1,0_-4_0,0_-4_-1,-1_-3_0,1_-4_0,0_-3_1
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_127/hearts.stan,0.0,4.0,15.0,25.0,19.0,11.0,32.0,0.0,1.0,35.0,13.0,5.0,8.0,7.0,0.0,6.0,3.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_100/hearts.stan,0.0,4.0,15.0,57.0,16.0,10.0,25.0,0.0,1.0,31.0,11.0,5.0,5.0,5.0,0.0,5.0,36.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_377/hearts.stan,0.0,4.0,15.0,58.0,16.0,10.0,27.0,0.0,1.0,32.0,12.0,5.0,6.0,5.0,0.0,5.0,36.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_28/hearts.stan,0.0,4.0,15.0,58.0,17.0,10.0,31.0,0.0,1.0,34.0,12.0,5.0,7.0,7.0,0.0,6.0,36.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_470/hearts.stan,0.0,4.0,16.0,60.0,15.0,10.0,25.0,0.0,1.0,32.0,8.0,5.0,5.0,5.0,0.0,5.0,36.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_341/hearts.stan,0.0,4.0,15.0,58.0,19.0,11.0,33.0,0.0,1.0,35.0,14.0,5.0,8.0,6.0,0.0,7.0,36.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_525/hearts.stan,0.0,4.0,15.0,58.0,18.0,10.0,33.0,0.0,1.0,36.0,12.0,5.0,8.0,9.0,0.0,7.0,36.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_335/hearts.stan,0.0,4.0,15.0,58.0,16.0,10.0,26.0,0.0,1.0,32.0,11.0,5.0,5.0,5.0,0.0,5.0,36.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_336/hearts.stan,0.0,4.0,15.0,58.0,15.0,10.0,24.0,0.0,1.0,30.0,11.0,3.0,4.0,3.0,0.0,6.0,36.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_3/hearts.stan,0.0,4.0,16.0,58.0,18.0,10.0,32.0,0.0,1.0,36.0,12.0,5.0,8.0,9.0,0.0,7.0,36.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_98/hearts.stan,0.0,4.0,9.0,32.0,16.0,8.0,18.0,0.0,1.0,21.0,10.0,5.0,5.0,4.0,0.0,3.0,18.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_77/hearts.stan,0.0,4.0,9.0,50.0,16.0,8.0,18.0,0.0,1.0,21.0,10.0,5.0,5.0,4.0,0.0,3.0,36.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_83/hearts.stan,0.0,4.0,15.0,40.0,16.0,10.0,26.0,0.0,1.0,32.0,11.0,5.0,5.0,5.0,0.0,5.0,18.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_523/hearts.stan,0.0,4.0,15.0,58.0,20.0,10.0,41.0,0.0,1.0,40.0,13.0,5.0,11.0,13.0,0.0,9.0,36.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_151/hearts.stan,0.0,4.0,15.0,54.0,15.0,8.0,26.0,0.0,1.0,31.0,8.0,4.0,6.0,5.0,0.0,5.0,36.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_567/hearts.stan,0.0,4.0,9.0,50.0,15.0,8.0,15.0,0.0,1.0,19.0,10.0,4.0,4.0,2.0,0.0,3.0,36.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_84/hearts.stan,0.0,4.0,15.0,40.0,18.0,10.0,35.0,0.0,1.0,36.0,14.0,5.0,9.0,8.0,0.0,8.0,18.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_258/hearts.stan,0.0,4.0,15.0,58.0,16.0,10.0,26.0,0.0,1.0,32.0,11.0,5.0,5.0,5.0,0.0,5.0,36.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_252/hearts.stan,0.0,4.0,14.0,58.0,16.0,11.0,26.0,0.0,1.0,32.0,11.0,5.0,5.0,5.0,0.0,5.0,36.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_312/hearts.stan,0.0,4.0,14.0,60.0,15.0,11.0,27.0,0.0,1.0,32.0,8.0,5.0,5.0,5.0,0.0,6.0,36.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_529/hearts.stan,0.0,4.0,15.0,40.0,16.0,10.0,26.0,0.0,1.0,32.0,11.0,5.0,5.0,5.0,0.0,5.0,18.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_22/hearts.stan,0.0,4.0,15.0,58.0,15.0,10.0,23.0,0.0,1.0,30.0,11.0,4.0,4.0,3.0,0.0,5.0,36.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_27/hearts.stan,0.0,4.0,14.0,54.0,16.0,9.0,24.0,0.0,1.0,31.0,11.0,6.0,5.0,5.0,0.0,4.0,36.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_323/hearts.stan,0.0,4.0,15.0,60.0,15.0,10.0,27.0,0.0,1.0,32.0,8.0,5.0,5.0,5.0,0.0,6.0,36.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_53/hearts.stan,0.0,4.0,16.0,59.0,18.0,11.0,30.0,0.0,1.0,36.0,12.0,5.0,8.0,9.0,0.0,7.0,36.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_13/hearts.stan,0.0,4.0,13.0,57.0,18.0,9.0,37.0,0.0,1.0,36.0,12.0,5.0,8.0,10.0,0.0,7.0,36.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_153/hearts.stan,0.0,4.0,15.0,60.0,18.0,11.0,30.0,0.0,1.0,35.0,9.0,5.0,7.0,7.0,0.0,6.0,36.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_391/hearts.stan,0.0,4.0,10.0,49.0,18.0,8.0,24.0,0.0,1.0,27.0,8.0,4.0,7.0,6.0,0.0,4.0,36.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_442/hearts.stan,0.0,4.0,15.0,58.0,16.0,10.0,26.0,0.0,1.0,32.0,11.0,5.0,5.0,5.0,0.0,5.0,36.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_158/hearts.stan,0.0,4.0,15.0,58.0,15.0,10.0,24.0,0.0,1.0,30.0,11.0,3.0,4.0,3.0,0.0,6.0,36.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_566/hearts.stan,0.0,4.0,15.0,58.0,15.0,10.0,23.0,0.0,1.0,30.0,11.0,4.0,4.0,3.0,0.0,5.0,36.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_133/hearts.stan,0.0,4.0,15.0,58.0,16.0,11.0,22.0,0.0,1.0,30.0,11.0,5.0,5.0,5.0,0.0,5.0,36.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_349/hearts.stan,0.0,4.0,15.0,33.0,15.0,10.0,27.0,0.0,1.0,32.0,8.0,5.0,5.0,5.0,0.0,6.0,9.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_459/hearts.stan,0.0,4.0,15.0,57.0,16.0,10.0,24.0,0.0,1.0,30.0,11.0,5.0,5.0,5.0,0.0,5.0,36.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_324/hearts.stan,0.0,4.0,14.0,58.0,16.0,11.0,25.0,0.0,1.0,32.0,11.0,5.0,5.0,5.0,0.0,4.0,36.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_144/hearts.stan,0.0,4.0,15.0,58.0,16.0,10.0,27.0,0.0,1.0,32.0,12.0,5.0,6.0,5.0,0.0,5.0,36.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_482/hearts.stan,0.0,4.0,15.0,58.0,16.0,10.0,26.0,0.0,1.0,32.0,11.0,5.0,5.0,5.0,0.0,5.0,36.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_386/hearts.stan,0.0,4.0,15.0,58.0,16.0,10.0,26.0,0.0,1.0,32.0,11.0,5.0,5.0,5.0,0.0,5.0,36.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_440/hearts.stan,0.0,4.0,15.0,24.0,19.0,11.0,28.0,0.0,1.0,33.0,12.0,5.0,7.0,7.0,0.0,6.0,3.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_225/hearts.stan,0.0,4.0,15.0,57.0,15.0,10.0,21.0,0.0,1.0,28.0,11.0,4.0,4.0,3.0,0.0,5.0,36.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_192/hearts.stan,0.0,4.0,15.0,57.0,15.0,10.0,21.0,0.0,1.0,28.0,11.0,4.0,4.0,3.0,0.0,5.0,36.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_161/hearts.stan,0.0,4.0,15.0,37.0,17.0,10.0,26.0,0.0,1.0,32.0,13.0,5.0,5.0,5.0,0.0,5.0,18.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_466/hearts.stan,0.0,4.0,9.0,50.0,18.0,8.0,27.0,0.0,1.0,25.0,13.0,5.0,9.0,7.0,0.0,6.0,36.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_517/hearts.stan,0.0,4.0,15.0,58.0,19.0,11.0,30.0,0.0,1.0,35.0,12.0,5.0,7.0,7.0,0.0,6.0,36.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_269/hearts.stan,0.0,4.0,11.0,53.0,15.0,8.0,21.0,0.0,1.0,25.0,7.0,4.0,5.0,4.0,0.0,5.0,36.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_70/hearts.stan,0.0,4.0,15.0,58.0,15.0,10.0,23.0,0.0,1.0,30.0,11.0,4.0,4.0,3.0,0.0,5.0,36.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_167/hearts.stan,0.0,4.0,14.0,58.0,19.0,12.0,31.0,0.0,1.0,35.0,13.0,5.0,7.0,6.0,0.0,7.0,36.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_54/hearts.stan,0.0,4.0,15.0,58.0,15.0,10.0,24.0,0.0,1.0,30.0,11.0,3.0,4.0,3.0,0.0,6.0,36.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_64/hearts.stan,0.0,4.0,11.0,53.0,17.0,9.0,22.0,0.0,1.0,26.0,8.0,3.0,6.0,4.0,0.0,6.0,36.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_16/hearts.stan,0.0,4.0,15.0,57.0,15.0,10.0,21.0,0.0,1.0,28.0,11.0,4.0,4.0,3.0,0.0,5.0,36.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_475/hearts.stan,0.0,4.0,15.0,58.0,16.0,10.0,27.0,0.0,1.0,32.0,12.0,5.0,6.0,5.0,0.0,5.0,36.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_279/hearts.stan,0.0,4.0,15.0,25.0,19.0,11.0,30.0,0.0,1.0,35.0,12.0,5.0,7.0,7.0,0.0,6.0,3.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_302/hearts.stan,0.0,4.0,13.0,57.0,16.0,9.0,29.0,0.0,1.0,31.0,11.0,5.0,5.0,5.0,0.0,5.0,36.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_160/hearts.stan,0.0,4.0,15.0,55.0,20.0,11.0,30.0,0.0,1.0,35.0,14.0,5.0,7.0,7.0,0.0,6.0,36.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_474/hearts.stan,0.0,4.0,15.0,58.0,18.0,10.0,34.0,0.0,1.0,36.0,13.0,5.0,9.0,9.0,0.0,7.0,36.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_38/hearts.stan,0.0,4.0,15.0,57.0,16.0,10.0,24.0,0.0,1.0,30.0,11.0,5.0,5.0,5.0,0.0,5.0,36.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_443/hearts.stan,0.0,4.0,15.0,58.0,19.0,11.0,30.0,0.0,1.0,35.0,12.0,5.0,7.0,7.0,0.0,6.0,36.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_449/hearts.stan,0.0,4.0,14.0,54.0,19.0,10.0,31.0,0.0,1.0,35.0,13.0,5.0,9.0,6.0,0.0,4.0,36.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_395/hearts.stan,0.0,4.0,15.0,31.0,16.0,10.0,26.0,0.0,1.0,32.0,11.0,5.0,5.0,5.0,0.0,5.0,9.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_62/hearts.stan,0.0,4.0,15.0,58.0,16.0,10.0,26.0,0.0,1.0,32.0,11.0,5.0,5.0,5.0,0.0,5.0,36.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_332/hearts.stan,0.0,4.0,15.0,58.0,16.0,10.0,27.0,0.0,1.0,32.0,12.0,5.0,6.0,5.0,0.0,5.0,36.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_309/hearts.stan,0.0,4.0,15.0,58.0,18.0,10.0,35.0,0.0,1.0,36.0,14.0,5.0,9.0,8.0,0.0,8.0,36.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_436/hearts.stan,0.0,4.0,13.0,59.0,19.0,12.0,30.0,0.0,1.0,34.0,12.0,5.0,8.0,7.0,0.0,6.0,36.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_315/hearts.stan,0.0,4.0,15.0,58.0,18.0,10.0,33.0,0.0,1.0,36.0,12.0,5.0,8.0,9.0,0.0,7.0,36.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_325/hearts.stan,0.0,4.0,11.0,53.0,17.0,8.0,28.0,0.0,1.0,29.0,8.0,4.0,8.0,8.0,0.0,7.0,36.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_562/hearts.stan,0.0,4.0,15.0,59.0,18.0,11.0,31.0,0.0,1.0,36.0,12.0,5.0,8.0,9.0,0.0,7.0,36.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_547/hearts.stan,0.0,4.0,14.0,53.0,16.0,9.0,23.0,0.0,1.0,29.0,11.0,5.0,5.0,5.0,0.0,3.0,36.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_206/hearts.stan,0.0,4.0,15.0,40.0,16.0,10.0,26.0,0.0,1.0,32.0,11.0,5.0,5.0,5.0,0.0,5.0,18.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_433/hearts.stan,0.0,4.0,13.0,52.0,16.0,8.0,21.0,0.0,1.0,24.0,11.0,6.0,5.0,5.0,0.0,3.0,36.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_243/hearts.stan,0.0,4.0,12.0,57.0,16.0,10.0,30.0,0.0,1.0,30.0,11.0,5.0,6.0,5.0,0.0,6.0,36.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_296/hearts.stan,0.0,4.0,15.0,58.0,16.0,10.0,27.0,0.0,1.0,33.0,11.0,5.0,5.0,6.0,0.0,5.0,36.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_135/hearts.stan,0.0,4.0,14.0,59.0,16.0,11.0,24.0,0.0,1.0,31.0,11.0,6.0,5.0,5.0,0.0,6.0,36.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_345/hearts.stan,0.0,4.0,15.0,60.0,15.0,10.0,26.0,0.0,1.0,32.0,8.0,5.0,5.0,5.0,0.0,5.0,36.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_451/hearts.stan,0.0,4.0,13.0,53.0,16.0,8.0,23.0,0.0,1.0,26.0,11.0,6.0,5.0,5.0,0.0,3.0,36.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_85/hearts.stan,0.0,4.0,13.0,56.0,16.0,9.0,27.0,0.0,1.0,29.0,11.0,6.0,5.0,5.0,0.0,7.0,36.0
